"ENSG","n.mut","com_var_count","RVIS.prot"
"ENSG00000000419",173,10,0.614723582253113
"ENSG00000001036",255,23,0.0879012393895941
"ENSG00000001084",240,16,0.863174651997363
"ENSG00000001460",214,21,-0.309661329333729
"ENSG00000001461",285,25,0.29999386742479
"ENSG00000001561",232,16,0.728266190583418
"ENSG00000001630",272,12,1.99078667169026
"ENSG00000002587",217,14,0.769110978969483
"ENSG00000002726",563,63,-0.594655106197742
"ENSG00000002745",246,13,1.40513779434602
"ENSG00000002822",623,52,2.03531978372489
"ENSG00000002834",137,11,-0.139191268946086
"ENSG00000002933",143,16,-0.772446169700577
"ENSG00000003056",129,3,0.90108220670577
"ENSG00000003147",280,19,1.09704261106575
"ENSG00000003402",160,11,0.24862444925402
"ENSG00000003436",123,9,-0.0814922747204025
"ENSG00000003509",287,17,1.5089759769832
"ENSG00000003987",521,27,3.99026829715783
"ENSG00000003989",588,42,2.91478274693373
"ENSG00000004059",57,2,-0.166202458889381
"ENSG00000004139",282,28,-0.19125266573198
"ENSG00000004455",130,20,-1.57941655867138
"ENSG00000004468",155,19,-1.01079091576207
"ENSG00000004776",31,4,-0.898456011088421
"ENSG00000004779",88,8,-0.524784566019133
"ENSG00000004799",259,10,2.06543637095238
"ENSG00000004809",479,41,1.22152786258052
"ENSG00000004838",245,22,0.0661660513451666
"ENSG00000004948",286,22,0.757520306647729
"ENSG00000005001",202,16,0.222401654796472
"ENSG00000005020",154,9,0.441227129089486
"ENSG00000005059",177,18,-0.49289641994177
"ENSG00000005073",180,15,-0.00166840494366009
"ENSG00000005075",18,2,-0.823900636714407
"ENSG00000005187",328,26,0.878227270937552
"ENSG00000005194",148,16,-0.688130210561465
"ENSG00000005243",101,8,-0.305572164164768
"ENSG00000005249",133,12,-0.353518907107052
"ENSG00000005421",185,19,-0.504886521919168
"ENSG00000005448",226,21,-0.107321918483899
"ENSG00000005469",415,33,1.31727134168805
"ENSG00000005513",328,37,-0.737718564385693
"ENSG00000005812",129,7,0.313450329783881
"ENSG00000005882",199,12,0.759368947748681
"ENSG00000005981",294,13,2.21506295251138
"ENSG00000006007",176,12,0.371528704669018
"ENSG00000006015",62,9,-1.11015509933234
"ENSG00000006016",276,15,1.61731676777852
"ENSG00000006042",115,7,0.0773800744343029
"ENSG00000006059",339,37,-0.552186785825562
"ENSG00000006074",62,3,-0.228778373799608
"ENSG00000006075",26,4,-0.982784937707672
