"ENSG","cluster_membership","cluster_size","n.mut","com_var_count","RVIS.domain"
"ENSG00000000419",1,271,111,6,2.15044187005047
"ENSG00000000419",2,24,62,4,0.739776421006268
"ENSG00000001036",1,102,51,2,1.03998699950171
"ENSG00000001036",2,100,54,6,-0.41578377939152
"ENSG00000001036",3,92,45,5,-0.423248749867404
"ENSG00000001036",4,63,43,5,-0.5132869722415
"ENSG00000001036",5,56,27,3,-0.438180504709771
"ENSG00000001036",6,54,35,2,0.319671636062692
"ENSG00000001084",1,105,38,2,0.454728547303854
"ENSG00000001084",2,91,38,3,0.057025253752388
"ENSG00000001084",3,74,29,2,0.0495592090913532
"ENSG00000001084",4,67,19,2,-0.400628326753591
"ENSG00000001084",5,64,18,1,-0.0479443733226822
"ENSG00000001084",6,62,32,2,0.184615266239187
"ENSG00000001084",7,45,13,1,-0.273038623969326
"ENSG00000001084",8,38,13,0,0.124665211069139
"ENSG00000001084",9,37,15,0,0.214703309143222
"ENSG00000001084",10,28,8,0,-0.100429771819342
"ENSG00000001084",11,26,17,3,-0.888375919631796
"ENSG00000001460",1,67,37,1,0.807420736210683
"ENSG00000001460",2,63,21,3,-0.708296221916274
"ENSG00000001460",3,51,43,4,-0.115583000074486
"ENSG00000001460",4,49,35,2,0.319671636062692
"ENSG00000001460",5,42,27,6,-1.63135700437267
"ENSG00000001460",6,36,32,3,-0.213086419002147
"ENSG00000001460",7,26,19,2,-0.400628326753591
"ENSG00000001461",1,159,97,9,0.326922627785684
"ENSG00000001461",2,151,122,9,1.45245894810883
"ENSG00000001461",3,63,42,4,-0.160601626172764
"ENSG00000001461",4,33,24,3,-0.57323787787031
"ENSG00000001561",1,109,55,5,0.0269389385493752
"ENSG00000001561",2,105,54,4,0.379622315241685
"ENSG00000001561",3,93,59,4,0.604717820209257
"ENSG00000001561",4,91,36,2,0.364690535022881
"ENSG00000001561",5,55,28,1,0.40224451027528
"ENSG00000001630",1,361,165,6,4.58279105722754
"ENSG00000001630",2,83,61,3,1.09247292226347
"ENSG00000001630",3,65,46,3,0.417175067989267
"ENSG00000002587",1,255,182,12,2.9609496280832
"ENSG00000002587",2,52,35,2,0.319671636062692
"ENSG00000002726",1,187,113,18,-2.5327410761252
"ENSG00000002726",2,148,128,10,1.32486676597766
"ENSG00000002726",3,129,76,8,-0.220777670442602
"ENSG00000002726",4,120,109,11,0.0717385631200657
"ENSG00000002726",5,70,54,6,-0.41578377939152
"ENSG00000002726",6,58,39,5,-0.693364643896978
"ENSG00000002726",7,58,44,5,-0.468267816993594
"ENSG00000002745",1,75,50,5,-0.198154439538273
"ENSG00000002745",2,66,66,4,0.919856544028024
"ENSG00000002745",3,49,33,1,0.627341261221183
"ENSG00000002745",4,45,27,2,-0.0404781015895776
"ENSG00000002745",5,44,24,0,0.61987772903524
"ENSG00000002745",6,44,17,0,0.304741568835141
"ENSG00000002745",7,42,29,1,0.447263675180916
"ENSG00000002822",1,234,186,11,3.53899812559522
"ENSG00000002822",2,149,159,17,-0.0635505526478871
"ENSG00000002822",3,117,122,10,1.05472908468137
"ENSG00000002822",4,93,93,8,0.544552187046045
"ENSG00000002822",5,64,33,4,-0.565771637703186
"ENSG00000002822",6,61,30,2,0.0945778741853018
"ENSG00000002834",1,85,30,1,0.492282924255978
"ENSG00000002834",2,50,7,0,-0.145448791207803
"ENSG00000002834",3,44,27,2,-0.0404781015895776
"ENSG00000002834",4,43,32,4,-0.610790947265598
"ENSG00000002834",5,39,41,4,-0.205620282493662
"ENSG00000002933",1,187,111,14,-1.03143114810773
"ENSG00000002933",2,48,32,2,0.184615266239187
"ENSG00000003056",1,214,94,3,2.57833131915822
"ENSG00000003056",2,63,35,0,1.11510436246142
"ENSG00000003147",1,280,160,9,3.16364538706655
"ENSG00000003147",2,113,61,3,1.09247292226347
"ENSG00000003147",3,46,22,0,0.529838369931269
"ENSG00000003147",4,39,28,6,-1.58633281055117
"ENSG00000003147",5,34,9,1,-0.453114898532862
"ENSG00000003402",1,241,99,9,0.416962364407399
"ENSG00000003402",2,239,61,2,1.49020734265172
"ENSG00000003436",1,61,20,2,-0.355609373689877
"ENSG00000003436",2,59,23,3,-0.618257206712901
"ENSG00000003436",3,52,21,0,0.484818844181075
"ENSG00000003436",4,48,16,1,-0.137981987210817
"ENSG00000003436",5,45,27,0,0.754937663790438
"ENSG00000003436",6,39,16,3,-0.933396240842378
"ENSG00000003509",1,48,33,2,0.229634010142787
"ENSG00000003509",2,42,41,2,0.589786228709244
"ENSG00000003509",3,41,29,0,0.84497831654407
"ENSG00000003509",4,40,29,6,-1.5413089153004
"ENSG00000003509",5,37,22,1,0.132130813959482
"ENSG00000003509",6,35,31,0,0.935019605381115
"ENSG00000003509",7,34,24,0,0.61987772903524
