"ENSP","cluster_membership","cluster_size","n.mut.all","n.rare.funcl","n.comm.funcl","n.rare.nonfuncl","n.comm.nonfuncl"
"ENSP00000000233",1,161,42,17,0,24,1
"ENSP00000000233",2,19,3,2,0,1,0
"ENSP00000000412",1,214,75,48,1,25,1
"ENSP00000000412",2,63,22,16,0,6,0
"ENSP00000000442",1,224,80,37,4,35,4
"ENSP00000000442",2,126,35,16,0,18,1
"ENSP00000000442",3,73,28,18,1,9,0
"ENSP00000002125",1,48,23,16,0,7,0
"ENSP00000002125",2,42,17,11,0,6,0
"ENSP00000002125",3,41,18,16,0,2,0
"ENSP00000002125",4,40,22,14,2,6,0
"ENSP00000002125",5,37,17,11,0,6,0
"ENSP00000002125",6,35,13,8,0,5,0
"ENSP00000002125",7,34,16,12,1,3,0
"ENSP00000002125",8,34,16,10,0,6,0
"ENSP00000002125",9,31,10,6,0,3,1
"ENSP00000002125",10,27,16,11,0,5,0
"ENSP00000002125",11,25,9,5,0,3,1
"ENSP00000002125",12,18,6,5,0,1,0
"ENSP00000002125",13,16,7,6,0,1,0
"ENSP00000002125",14,13,10,7,0,3,0
"ENSP00000002165",1,102,43,28,0,15,0
"ENSP00000002165",2,100,37,22,2,12,1
"ENSP00000002165",3,92,32,19,0,12,1
"ENSP00000002165",4,63,33,21,1,11,0
"ENSP00000002165",5,56,15,6,0,8,1
"ENSP00000002165",6,54,22,14,1,7,0
"ENSP00000002596",1,255,120,77,1,39,3
"ENSP00000002596",2,52,25,16,0,9,0
"ENSP00000003100",1,361,112,80,1,31,0
"ENSP00000003100",2,83,39,28,0,11,0
"ENSP00000003100",3,65,27,18,0,8,1
"ENSP00000004103",1,187,71,41,7,20,3
"ENSP00000004103",2,48,24,14,0,10,0
"ENSP00000004531",1,157,70,47,1,21,1
"ENSP00000004531",2,126,61,34,1,26,0
"ENSP00000004531",3,106,61,41,1,16,3
"ENSP00000004531",4,74,33,24,1,6,2
"ENSP00000004531",5,74,42,26,2,12,2
"ENSP00000004531",6,67,37,20,2,14,1
"ENSP00000004531",7,36,14,10,0,4,0
"ENSP00000004531",8,33,17,13,0,4,0
"ENSP00000004531",9,25,12,10,0,2,0
"ENSP00000004921",1,34,15,11,0,4,0
"ENSP00000004921",2,29,10,7,0,3,0
"ENSP00000004921",3,26,12,7,1,4,0
"ENSP00000004982",1,51,7,5,0,2,0
"ENSP00000004982",2,50,14,12,0,2,0
"ENSP00000004982",3,43,6,3,0,3,0
"ENSP00000004982",4,16,1,1,0,0,0
"ENSP00000005178",1,63,23,17,0,6,0
"ENSP00000005178",2,50,26,21,0,5,0
"ENSP00000005178",3,50,20,15,0,3,2
"ENSP00000005178",4,48,19,11,1,7,0
"ENSP00000005178",5,46,15,11,0,4,0
"ENSP00000005178",6,41,18,12,1,5,0
"ENSP00000005178",7,39,14,9,1,4,0
"ENSP00000005178",8,27,10,5,0,5,0
"ENSP00000005178",9,26,10,5,0,5,0
"ENSP00000005178",10,21,13,10,0,3,0
"ENSP00000005180",1,38,14,9,1,4,0
"ENSP00000005180",2,34,18,13,0,4,1
"ENSP00000005180",3,22,6,4,1,1,0
"ENSP00000005257",1,43,9,4,0,5,0
"ENSP00000005257",2,38,5,1,0,4,0
"ENSP00000005257",3,37,6,3,0,3,0
"ENSP00000005257",4,26,3,2,0,1,0
"ENSP00000005257",5,24,4,1,0,3,0
"ENSP00000005257",6,23,5,0,0,5,0
"ENSP00000005257",7,15,2,1,1,0,0
"ENSP00000005284",1,63,18,10,0,8,0
"ENSP00000005284",2,63,17,9,0,8,0
"ENSP00000005284",3,56,17,8,0,9,0
"ENSP00000005284",4,51,12,4,0,8,0
"ENSP00000005284",5,40,13,5,0,8,0
"ENSP00000005284",6,22,9,4,0,4,1
"ENSP00000005284",7,20,8,4,0,4,0
"ENSP00000005558",1,242,81,53,1,26,1
"ENSP00000005558",2,133,45,29,0,14,2
"ENSP00000005558",3,76,27,15,0,10,2
"ENSP00000005587",1,121,32,23,1,7,1
"ENSP00000005587",2,111,35,24,1,10,0
"ENSP00000005587",3,65,21,14,0,7,0
"ENSP00000005587",4,62,21,12,1,8,0
"ENSP00000005995",1,215,113,76,4,30,3
"ENSP00000005995",2,60,17,12,0,3,2
"ENSP00000005995",3,39,9,5,0,4,0
"ENSP00000006015",1,246,91,61,0,29,1
"ENSP00000006015",2,67,21,8,0,12,1
"ENSP00000006101",1,55,21,16,0,5,0
"ENSP00000006101",2,38,13,9,1,3,0
"ENSP00000006101",3,30,11,10,0,1,0
