"ENSG","cluster_membership","cluster_size","n.mut"
"ENSG00000117525",4,37,22
"ENSG00000117525",5,24,15
"ENSG00000117525",6,24,12
"ENSG00000117525",7,20,2
"ENSG00000117525",8,15,6
"ENSG00000117533",1,104,41
"ENSG00000117533",2,37,19
"ENSG00000117543",1,42,18
"ENSG00000117543",2,38,27
"ENSG00000117543",3,37,13
"ENSG00000117543",4,33,18
"ENSG00000117543",5,32,18
"ENSG00000117543",6,29,18
"ENSG00000117543",7,23,9
"ENSG00000117543",8,20,10
"ENSG00000117543",9,18,10
"ENSG00000117543",10,13,9
"ENSG00000117592",1,90,51
"ENSG00000117592",2,47,27
"ENSG00000117592",3,41,13
"ENSG00000117592",4,25,12
"ENSG00000117592",5,21,6
"ENSG00000117594",1,183,86
"ENSG00000117594",2,74,21
"ENSG00000117594",3,35,13
"ENSG00000117595",1,124,32
"ENSG00000117595",2,92,47
"ENSG00000117595",3,63,20
"ENSG00000117595",4,54,28
"ENSG00000117595",5,50,23
"ENSG00000117595",6,36,14
"ENSG00000117595",7,26,12
"ENSG00000117595",8,22,9
"ENSG00000117598",1,110,71
"ENSG00000117598",2,60,23
"ENSG00000117598",3,58,29
"ENSG00000117598",4,52,17
"ENSG00000117598",5,41,30
"ENSG00000117601",1,121,56
"ENSG00000117601",2,96,36
"ENSG00000117601",3,74,40
"ENSG00000117601",4,57,33
"ENSG00000117601",5,47,18
"ENSG00000117601",6,40,24
"ENSG00000117601",7,29,8
"ENSG00000117602",1,208,146
"ENSG00000117602",2,33,9
"ENSG00000117614",1,184,111
"ENSG00000117614",2,59,23
"ENSG00000117620",1,320,111
"ENSG00000117620",2,47,9
"ENSG00000117632",1,125,32
"ENSG00000117632",2,33,14
"ENSG00000117632",3,16,3
"ENSG00000117640",1,76,43
"ENSG00000117640",2,45,25
"ENSG00000117640",3,39,15
"ENSG00000117640",4,36,27
"ENSG00000117640",5,34,20
"ENSG00000117640",6,33,18
"ENSG00000117640",7,29,12
"ENSG00000117643",1,161,80
"ENSG00000117643",2,92,45
"ENSG00000117643",3,78,53
"ENSG00000117643",4,51,22
"ENSG00000117643",5,51,36
"ENSG00000117643",6,50,31
"ENSG00000117643",7,40,24
"ENSG00000117643",8,40,38
"ENSG00000117643",9,39,32
"ENSG00000117643",10,28,19
"ENSG00000117682",1,193,89
"ENSG00000117682",2,80,51
"ENSG00000117682",3,31,15
"ENSG00000117682",4,30,6
"ENSG00000117707",1,460,171
"ENSG00000117707",2,150,24
"ENSG00000117707",3,82,49
"ENSG00000117707",4,45,21
"ENSG00000117751",1,132,70
"ENSG00000117751",2,128,34
"ENSG00000117751",3,48,12
"ENSG00000117751",4,43,9
"ENSG00000117758",1,110,50
"ENSG00000117758",2,78,25
"ENSG00000117758",3,71,21
"ENSG00000117758",4,17,11
"ENSG00000117791",1,65,34
"ENSG00000117791",2,54,17
"ENSG00000117791",3,44,21
"ENSG00000117791",4,42,21
"ENSG00000117791",5,35,24
"ENSG00000117791",6,34,15
"ENSG00000117791",7,33,18
"ENSG00000117791",8,28,17
"ENSG00000117862",1,90,37
"ENSG00000117862",2,31,30
"ENSG00000117862",3,30,14
"ENSG00000117862",4,21,12
"ENSG00000117868",1,141,68
"ENSG00000117868",2,129,70
"ENSG00000117868",3,98,62
"ENSG00000117868",4,96,58
"ENSG00000117868",5,92,54
"ENSG00000117868",6,77,2
"ENSG00000117868",7,72,43
"ENSG00000117868",8,72,25
"ENSG00000117868",9,59,48
"ENSG00000117868",10,57,49
"ENSG00000117906",1,91,36
"ENSG00000117906",2,79,27
"ENSG00000117906",3,75,23
"ENSG00000117906",4,66,11
"ENSG00000117906",5,24,6
"ENSG00000117971",1,190,129
