"ENSG","cluster_membership","benign.mut","pathogenic.mut"
"ENSG00000000419",1,4,5
"ENSG00000000419",2,2,0
"ENSG00000001036",1,0,0
"ENSG00000001036",2,0,0
"ENSG00000001036",3,0,0
"ENSG00000001036",4,0,0
"ENSG00000001036",5,0,0
"ENSG00000001036",6,0,0
"ENSG00000001084",1,0,0
"ENSG00000001084",2,0,0
"ENSG00000001084",3,0,0
"ENSG00000001084",4,0,0
"ENSG00000001084",5,0,0
"ENSG00000001084",6,0,0
"ENSG00000001084",7,0,0
"ENSG00000001084",8,0,0
"ENSG00000001084",9,0,0
"ENSG00000001084",10,0,0
"ENSG00000001084",11,0,0
"ENSG00000001460",1,0,0
"ENSG00000001460",2,0,0
"ENSG00000001460",3,0,0
"ENSG00000001460",4,0,0
"ENSG00000001460",5,0,0
"ENSG00000001460",6,0,0
"ENSG00000001460",7,0,0
"ENSG00000001461",1,0,0
"ENSG00000001461",2,0,0
"ENSG00000001461",3,0,0
"ENSG00000001461",4,0,0
"ENSG00000001561",1,0,0
"ENSG00000001561",2,0,0
"ENSG00000001561",3,0,0
"ENSG00000001561",4,0,0
"ENSG00000001561",5,0,0
"ENSG00000001630",1,0,0
"ENSG00000001630",2,0,0
"ENSG00000001630",3,0,0
"ENSG00000002587",1,0,0
"ENSG00000002587",2,0,0
"ENSG00000002726",1,0,0
"ENSG00000002726",2,0,0
"ENSG00000002726",3,0,0
"ENSG00000002726",4,0,0
"ENSG00000002726",5,0,0
"ENSG00000002726",6,0,0
"ENSG00000002726",7,0,0
"ENSG00000002745",1,0,0
"ENSG00000002745",2,0,0
"ENSG00000002745",3,0,0
"ENSG00000002745",4,0,0
"ENSG00000002745",5,0,0
"ENSG00000002745",6,0,0
"ENSG00000002745",7,0,0
"ENSG00000002822",1,0,0
"ENSG00000002822",2,0,0
"ENSG00000002822",3,1,0
"ENSG00000002822",4,0,0
"ENSG00000002822",5,0,0
"ENSG00000002822",6,0,0
"ENSG00000002834",1,0,0
"ENSG00000002834",2,0,0
"ENSG00000002834",3,0,0
"ENSG00000002834",4,0,0
"ENSG00000002834",5,0,0
"ENSG00000002933",1,0,0
"ENSG00000002933",2,0,0
"ENSG00000003056",1,0,0
"ENSG00000003056",2,0,0
"ENSG00000003147",1,0,0
"ENSG00000003147",2,0,0
"ENSG00000003147",3,0,0
"ENSG00000003147",4,0,0
"ENSG00000003147",5,0,0
"ENSG00000003402",1,0,0
"ENSG00000003402",2,0,0
"ENSG00000003436",1,0,0
"ENSG00000003436",2,0,0
"ENSG00000003436",3,0,0
"ENSG00000003436",4,0,0
